line_id;variant_id;sub_assembly_ref;sub_assembly_designation;component_ref;designation;quantity;unit;supplier;unit_cost_eur
L00098;A;SA-0111;Passenger door set;DOOR-PUSHBUTTON-INT;Interior push button;4;units;Deûle Électronique;86,00
L00099;A;SA-0111;Passenger door set;DOOR-PUSHBUTTON-EXT;Exterior push button;4;pcs;Deûle Électronique;112.00
L00100;A;SA-0111;Passenger door set;DOOR-EMERG-HANDLE;Emergency egress handle ;2;u;Portalys;265,00
L00101;A;SA-0111;Passenger door set;DOOR-STEP-PLATE;Step plate;2;units;Atelier Lys Métal;540.00
L00102;A;SA-0111;Passenger door set;DOOR-THRESHOLD;Threshold profile;2;units;Atelier Lys Métal;298,00
L00103;A;SA-0111;Passenger door set;DOOR-HARNESS;Door wiring harness;2;units;HAINAUT CÂBLAGE;386,00
L00104;A;SA-0111;Passenger door set;DOOR-LOCK;Door locking device;4;pcs;Portalys;447.00
L00105;A;SA-0111;Passenger door set;DOOR-DAMPER;Door end-stop damper;4;pcs;Portalys;58.50
L00106;A;SA-0111;Passenger door set;DOOR-PICTO;Door pictogram;8;units;Artois Polymères;6.80
L00107;A;SA-0111;Passenger door set;DOOR-FIX-KIT;DOOR FIXING KIT;4;u;atelier lys métal;72.00
L00108;A;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-DISPLAY-INT;INTERIOR TFT DISPLAY;4;pcs;Deûle Électronique;1480,00
L00109;A;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-DISPLAY-EXT;Exterior LED destination display;2;units;Deûle Électronique;2360.00
L00110;A;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-SPEAKER;Saloon loudspeaker;8;u;Deûle Électronique ;64,00
L00111;A;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-CONTROLLER;PIS controller;1;pcs;Deûle Électronique;5720,00
L00112;A;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-CABLE-TRUNK;PIS cable trunk;36;m;Hainaut Câblage;12,60
L00113;A;SA-0112;PASSENGER INFORMATION SYSTEM;PIS-SIGN-STD;Standard signage plate;6;pcs;ARTOIS POLYMÈRES;9,50
L00114;A;SA-0113;Seating module;SEAT-FIX-DBL;FIXED DOUBLE SEAT;24;u;Escaut Sièges ;1260.00
L00115;A;SA-0113;Seating module;SEAT-RAIL;Seat mounting rail;12;u;Atelier Lys Métal;184,00
L00116;A;SA-0113;Seating module;SEAT-FIX-KIT;SEAT FIXING KIT;24;u;ATELIER LYS MÉTAL;23.50
L00117;A;SA-0113;Seating module;SEAT-TABLE;Fixed table ;6;u;Escaut Sièges;395.00
L00118;A;SA-0113;Seating module;SEAT-GRAB-HANDLE;Seat-back grab handle;12;pcs;Escaut Sièges;31.00
L00119;A;SA-0113;Seating module;SEAT-END-PANEL;Seat row end panel ;8;pcs;Escaut Sièges;142,00
L00120;A;SA-0114;Floor and wall anchorage ;ANCH-SEAT-RAIL;Floor anchorage rail;12;u;Atelier Lys Métal;226,00
L00121;A;SA-0114;Floor and wall anchorage ;ANCH-RAIL-BOLT;Anchorage rail bolt;96;pcs;Nordrail Composants ;1,85
L00122;A;SA-0114;Floor and wall anchorage ;ANCH-FLOOR-PLATE;Floor anchorage plate;12;u;ATELIER LYS MÉTAL;47.00
L00123;A;SA-0114;Floor and wall anchorage ;ANCH-SHIM;Levelling shim;24;pcs;Nordrail Composants;2,40
L00124;A;SA-0110;TOILET MODULE;WC-CABIN-SHELL;toilet cabin shell;1;pcs;Sanirail Modules ;14800.00
L00125;A;SA-0110;TOILET MODULE;WC-BOWL-VACUUM;Vacuum toilet bowl;1;units;Sanirail Modules;3260,00
L00126;A;SA-0110;TOILET MODULE;WC-WATER-TANK;Fresh water tank 120 l;1;pcs;Sanirail Modules;1840,00
L00127;A;SA-0110;TOILET MODULE;WC-WASTE-TANK;Waste retention tank 300 l;1;pcs;Sanirail Modules;2970,00
L00128;A;SA-0110;TOILET MODULE;WC-WASHBASIN;Washbasin unit;1;pcs;Sanirail Modules;1120,00
L00129;A;SA-0110;TOILET MODULE;WC-DOOR-SLIDING;manual sliding toilet door;1;units;Sanirail Modules;2380.00
L00130;A;SA-0110;TOILET MODULE;WC-VACUUM-PUMP;Vacuum generator ;1;u;Sanirail Modules;4150,00
L00131;A;SA-0110;TOILET MODULE;WC-PIPE-KIT;Toilet pipework kit;1;u;SANIRAIL MODULES;860,00
L00132;A;SA-0110;TOILET MODULE;WC-SEALANT;Sanitary sealant ;1,5;kg;Artois Polymères;18,00
L00133;A;SA-0110;TOILET MODULE;WC-GRAB-BAR;Toilet grab bar;2;u;Atelier Lys Métal;128.00
L00134;A;SA-0110;TOILET MODULE;SEAT-RAIL-1;Mounting rail, aluminium, mark 1 ;2;pcs;Atelier Lys Métal;121,00
L00135;A;SA-0110;TOILET MODULE;DOOR-SEAL-0;Inner door seal, revision 0;2;pcs;Artois Polymères;52.00
L00136;B;SA-0101;Carbody shell;SHELL-UNDERFRAME;UNDERFRAME, WELDED ALUMINIUM;1;pcs;atelier lys métal;48200,00
L00137;B;SA-0101;Carbody shell;SHELL-SIDEWALL;Sidewall panel, extruded;2;u;ATELIER LYS MÉTAL;17650,00
L00138;B;SA-0101;Carbody shell;SHELL-ROOF;Roof assembly;1;u;Atelier Lys Métal;15400,00
L00139;B;SA-0101;Carbody shell;SHELL-ENDWALL;Endwall frame;2;u;ATELIER LYS MÉTAL;6900,00
L00140;B;SA-0101;Carbody shell;SHELL-BRACKET-KIT;Equipment bracket kit ;4;units;Atelier Lys Métal;412,50
L00141;B;SA-0101;Carbody shell;SHELL-SEAL;Carbody joint seal;24;pcs;ARTOIS POLYMÈRES;18,40
L00142;B;SA-0104;HVAC unit ;HVAC-COMPRESSOR;Scroll compressor;2;units;Scaldis Thermique;4380.00
L00143;B;SA-0104;HVAC unit ;HVAC-CONDENSER;Condenser coil;2;pcs;scaldis thermique;2140.00
L00144;B;SA-0104;HVAC unit ;HVAC-EVAPORATOR;Evaporator coil;2;units;Scaldis Thermique;1960,00
L00145;B;SA-0104;HVAC unit ;HVAC-FAN-SUPPLY;SUPPLY AIR FAN;4;units;Scaldis Thermique;735,00
L00146;B;SA-0104;HVAC unit ;HVAC-FILTER;Fresh air filter G4;8;pcs;Scaldis Thermique;38.00
L00147;B;SA-0104;HVAC unit ;HVAC-DUCT-MAIN;Main air duct;18,5;m;Artois Polymères ;96.00
L00148;B;SA-0104;HVAC unit ;HVAC-CTRL-BOARD;HVAC control board;1;units;Deûle Électronique;1820.00
L00149;B;SA-0104;HVAC unit ;HVAC-TEMP-SENSOR;SALOON TEMPERATURE SENSOR;6;u;Deûle Électronique;54.00
L00150;B;SA-0104;HVAC unit ;HVAC-GRILLE-12;Air outlet grille type 12;16;pcs;Artois Polymères;42.00
L00151;B;SA-0104;HVAC unit ;HVAC-GRILLE-1L;Air outlet grille, left-hand;2;u;Artois Polymères;46.50
L00152;B;SA-0104;HVAC unit ;HVAC-REFRIGERANT;Refrigerant R-513A charge;6500;g;Scaldis Thermique;31.00
L00153;B;SA-0104;HVAC unit ;BGI-2031;Bolt set M8, zinc-nickel ;24;u;Nordrail Composants;0,85
L00154;B;SA-0105;Braking unit;BRK-COMPRESSOR;Oil-free air compressor;1;pcs;Sambre Freinage;18700.00
L00155;B;SA-0105;Braking unit;BRK-AIR-TANK;AIR RESERVOIR 100 L;2;pcs;Sambre Freinage;1240.00
L00156;B;SA-0105;Braking unit;BRK-CTRL-VALVE;Brake control valve;4;u;Sambre Freinage ;2680.00
L00157;B;SA-0105;Braking unit;BRK-PIPE-STEEL;Brake pipe, stainless ;32000;mm;Sambre Freinage;28,50
L00158;B;SA-0105;Braking unit;BRK-HOSE-FLEX;Flexible brake hose;8;pcs;SAMBRE FREINAGE;93,00
L00159;B;SA-0105;Braking unit;BRK-DRYER;Air dryer;1;pcs;Sambre Freinage ;3150.00
L00160;B;SA-0105;Braking unit;BRK-PRESSURE-SENSOR;PRESSURE TRANSDUCER;6;units;DEÛLE ÉLECTRONIQUE;187.00
L00161;B;SA-0105;Braking unit;BRK-ECU;Brake electronic control unit;1;pcs;Deûle Électronique;9800.00
L00162;B;SA-0105;Braking unit;BRK-PARKING-ACT;parking brake actuator;2;pcs;Sambre Freinage;2260.00
L00163;B;SA-0105;Braking unit;BRK-BRACKET;Pipe support bracket ;12;u;Atelier Lys Métal;14.20
L00164;B;SA-0105;Braking unit;BGI_2031;Bolt set M8, zinc-nickel;36;units;nordrail composants;0,85
L00165;B;SA-0106;GANGWAY AND COUPLERS;GANG-BELLOWS;Gangway bellows;2;units;Artois Polymères;12400.00
L00166;B;SA-0106;GANGWAY AND COUPLERS;GANG-FRAME;Gangway frame ;2;pcs;Atelier Lys Métal;5350.00
L00167;B;SA-0106;GANGWAY AND COUPLERS;GANG-BRIDGE-PLATE;Gangway bridge plate;2;units;Atelier Lys Métal;1980.00
L00168;B;SA-0106;GANGWAY AND COUPLERS;GANG-SEAL-PROFILE;Gangway seal profile ;14.4;m;Artois Polymères;22,80
L00169;B;SA-0106;GANGWAY AND COUPLERS;COUP-SEMI-PERM;Semi-permanent coupler;2;pcs;FERROVAL SYSTÈMES;15800,00
L00170;B;SA-0106;GANGWAY AND COUPLERS;COUP-DRAFT-GEAR;Draft gear;2;units;Ferroval Systèmes;6240,00
L00171;B;SA-0106;GANGWAY AND COUPLERS;COUP-ELEC-HEAD;Electrical coupler head ;2;u;Hainaut Câblage;4470.00
L00172;B;SA-0106;GANGWAY AND COUPLERS;COUP-JUMPER-CABLE;Inter-car jumper cable;4;pcs;Hainaut Câblage;148,00
L00173;B;SA-0106;GANGWAY AND COUPLERS;GANG-HANDRAIL;Gangway handrail;4;units;Atelier Lys Métal;215.00
L00174;B;SA-0106;GANGWAY AND COUPLERS;DOOR-SEAL-O;Gangway door seal, outer;4;u;ARTOIS POLYMÈRES;81,00
L00175;B;SA-0106;GANGWAY AND COUPLERS;BGI-2031;Bolt set M8, zinc-nickel;48;pcs;Nordrail Composants;0.85
L00176;B;SA-0102;Trailer bogie ;BOGIE-FRAME;Trailer bogie frame;1;pcs;Ferroval Systèmes;26800.00
L00177;B;SA-0102;Trailer bogie ;BOGIE-WHEELSET;Wheelset, 840 mm;2;pcs;Ferroval Systèmes;11250,00
L00178;B;SA-0102;Trailer bogie ;BOGIE-PRIMARY-SUSP;Primary suspension spring set;4;pcs;Ferroval Systèmes;1340,00
L00179;B;SA-0102;Trailer bogie ;BOGIE-AIRSPRING;Secondary air spring;2;pcs;Artois Polymères;2875.00
L00180;B;SA-0102;Trailer bogie ;BOGIE-BRAKE-CALIPER;Brake caliper unit;4;units;sambre freinage;3120,00
L00181;B;SA-0102;Trailer bogie ;BOGIE-DAMPER;Hydraulic damper;8;pcs;Ferroval Systèmes;486.00
L00182;B;SA-0102;Trailer bogie ;BOGIE-AXLEBOX;Axlebox with bearing;4;pcs;Ferroval Systèmes;2240,00
L00183;B;SA-0103;Traction package;TRAC-CONV-MAIN;MAIN TRACTION CONVERTER;1;units;Tractelys Énergie;96500.00
L00184;B;SA-0103;Traction package;TRAC-TRANSFORMER;Main transformer 25 kV;1;pcs;Tractelys Énergie;74300,00
L00185;B;SA-0103;Traction package;TRAC-MOTOR;asynchronous traction motor;4;u;Tractelys Énergie ;21800,00
L00186;B;SA-0103;Traction package;TRAC-COOLING-UNIT;Converter cooling unit;1;units;Scaldis Thermique;8650.00
L00187;B;SA-0103;Traction package;TRAC-HV-CABLE;High-voltage cable, shielded;42000;mm;Hainaut Câblage;64.20
L00188;B;SA-0103;Traction package;TRAC-CIRCUIT-BREAKER;Vacuum circuit breaker;1;units;TRACTELYS ÉNERGIE;13900.00
L00189;B;SA-0103;Traction package;TRAC-EARTH-SWITCH;Earthing switch;1;pcs;Tractelys Énergie;4150.00
L00190;B;SA-0103;Traction package;TRAC-CTRL-RACK;Traction control rack;1;u;Deûle Électronique;17200.00
L00191;B;SA-0103;Traction package;TRAC-SENSOR-KIT;Speed and current sensor kit;4;pcs;Deûle Électronique;940,00
L00192;B;SA-0103;Traction package;TRAC-BUSBAR;Copper busbar;6;pcs;Hainaut Câblage;215.00
L00193;B;SA-0103;Traction package;TRAC-1NSULAT0R;Roof insulator;12;u;Tractelys Énergie;178.00
L00194;B;SA-0103;Traction package;TRAC-FIX-KIT;Traction equipment fixing kit;8;u;Atelier Lys Métal ;96,50
L00195;B;SA-0107;Auxiliary converter;AUX-INVERTER;Auxiliary inverter 60 kVA;1;pcs;Tractelys Énergie;34600.00
L00196;B;SA-0107;Auxiliary converter;AUX-CAP-BANK;DC-link capacitor bank ;2;units;Tractelys Énergie;2890,00
L00197;B;SA-0107;Auxiliary converter;AUX-BATTERY-CHARGER;Battery charger 24 V ;1;pcs;Tractelys Énergie ;7350.00
L00198;B;SA-0107;Auxiliary converter;AUX-BATTERY-PACK;NiCd battery pack;2;units;TRACTELYS ÉNERGIE;9120,00
L00199;B;SA-0107;Auxiliary converter;AUX-FILTER-CHOKE;INPUT FILTER CHOKE;1;pcs;Tractelys Énergie;3480.00
L00200;B;SA-0107;Auxiliary converter;AUX-COOLING-FAN;Converter cooling fan ;2;pcs;Scaldis Thermique;640.00
L00201;B;SA-0107;Auxiliary converter;AUX-CONTACTOR;Power contactor;4;u;deûle électronique;385.00
L00202;B;SA-0107;Auxiliary converter;AUX-FUSE-BOX;Fuse box;1;pcs;Deûle Électronique;520,00
L00203;B;SA-0107;Auxiliary converter;AUX-LV-CABLE;Low-voltage power cable ;28000;mm;Hainaut Câblage;9.40
L00204;B;SA-0107;Auxiliary converter;AUX-ENCLOSURE;Underfloor enclosure;1;u;Atelier Lys Métal;4250.00
L00205;B;SA-0107;Auxiliary converter;BGI-2031;Bolt set M8, zinc-nickel;16;units;Nordrail Composants ;0.85
L00206;B;SA-0108;Interior lighting;LIGHT-LED-STRIP;LED light strip 1200 mm;24;units;DEÛLE ÉLECTRONIQUE;118,00
L00207;B;SA-0108;Interior lighting;LIGHT-DRIVER;LED driver ;6;pcs;Deûle Électronique ;96.00
L00208;B;SA-0108;Interior lighting;LIGHT-EMERG-UNIT;Emergency lighting unit;4;units;Deûle Électronique;274,00
L00209;B;SA-0108;Interior lighting;LIGHT-DIFFUSER;LIGHT DIFFUSER;24;units;Artois Polymères;33,00
L00210;B;SA-0108;Interior lighting;LIGHT-CABLE;Lighting cable ;45000;mm;Hainaut Câblage;3,20
L00211;B;SA-0108;Interior lighting;LIGHT-SWITCH-PANEL;Lighting switch panel;1;units;Deûle Électronique;460.00
L00212;B;SA-0108;Interior lighting;LIGHT-SENSOR-AMB;Ambient light sensor;2;units;Deûle Électronique;72,00
L00213;B;SA-0108;Interior lighting;LIGHT-READING-SPOT;Reading spot;12;pcs;Deûle Électronique;58.00
L00214;B;SA-0108;Interior lighting;LIGHT-CONNECTOR;Lighting connector;48;pcs;HAINAUT CÂBLAGE;2.70
L00215;B;SA-0108;Interior lighting;LIGHT-CLIP;Cable clip;96;u;Nordrail Composants ;0,35
L00216;B;SA-0109;Floor and wall panels;PANEL-FLOOR-PLY;Plywood floor panel;14;u;Artois Polymères;385.00
L00217;B;SA-0109;Floor and wall panels;PANEL-FLOOR-COVER;RUBBER FLOOR COVERING;38,5;m;Artois Polymères;58,00
L00218;B;SA-0109;Floor and wall panels;PANEL-WALL-GRP;GRP wall panel;16;pcs;artois polymères;640.00
L00219;B;SA-0109;Floor and wall panels;PANEL-CEILING;Ceiling panel;12;pcs;Artois Polymères;512.00
L00220;B;SA-0109;Floor and wall panels;PANEL-INSUL-MAT;Thermal insulation mat;22.0;kg;Artois Polymères;7.60
